Month_Start,Month_End,Outokumpu,ASTM,EN,USD/lbs,USD/ton,
2025-05-01,2025-05-31,Moda 430/4016,430,1.4016,0.3265,719.81,
2025-05-01,2025-05-31,Moda 439/4510,439,1.4510,0.3895,858.71,
2025-05-01,2025-05-31,Moda 410L/4003,410L,1.4003,0.2928,645.51,
2025-05-01,2025-05-31,Moda 409/4512,409,1.4512,0.2704,596.13,
2025-05-01,2025-05-31,Moda 410S/4000,410S,1.4000,0.2802,617.73,
2025-05-01,2025-05-31,Core 304L/304/4307,304L/304,1.4307,0.8156,1798.09,
2025-05-01,2025-05-31,Core 304L/4306 9% min Ni,304L,1.4306,0.8738,1926.40,
2025-05-01,2025-05-31,Core 304 8.5% min Ni,304,,0.8446,1862.02,
2025-05-01,2025-05-31,Core 304 9% min Ni,304,,0.8738,1926.40,
2025-05-01,2025-05-31,Core 304 9.5% min Ni,304,1.4307,0.9029,1990.56,
2025-05-01,2025-05-31,Core 304L 9.5% min Ni,304L,1.4307,0.9029,1990.56,
2025-05-01,2025-05-31,Core 304 10% min Ni,304,,0.9335,2058.02,
2025-05-01,2025-05-31,Core 305 12% min Ni,305,,1.0557,2327.43,
2025-05-01,2025-05-31,Core 305 12.4% min Ni,305,,1.0730,2365.57,
2025-05-01,2025-05-31,Core 321/4541,321,1.4541,0.8620,1900.39,
2025-05-01,2025-05-31,Core 347/4550,347,1.4550,0.9974,2198.90,
2025-05-01,2025-05-31,Core 301 6.0% min Ni,301,,0.6865,1513.47,
2025-05-01,2025-05-31,Core 301 6.3% min Ni,301,,0.7007,1544.79,
2025-05-01,2025-05-31,Core 301 6.4% min Ni,301,,0.8277,1824.76,
2025-05-01,2025-05-31,Core 301 6.6% min Ni,301,,0.7244,1597.03,
2025-05-01,2025-05-31,Core 301 H Si,301 H Si,,0.7111,1567.71,
2025-05-01,2025-05-31,Core 301LN/4318,301LN,1.4318,0.7240,1596.15,
2025-05-01,2025-05-31,Core 301 7.1% min Ni,301,,0.7733,1704.84,
2025-05-01,2025-05-31,Core 201 3.5% min Ni,201,,0.5645,1244.51,
2025-05-01,2025-05-31,Core 201 3.6% min Ni,201,,0.5318,1172.42,
2025-05-01,2025-05-31,Core 201 3.75% min Ni,201,,0.5790,1276.48,
2025-05-01,2025-05-31,Core 201 4% min Ni,201,,0.5932,1307.78,
2025-05-01,2025-05-31,Core 201 4.5%Ni 17%Cr,201,,0.5638,1242.97,
2025-05-01,2025-05-31,Core 201 4.5%Ni 17.5%Cr,201,,0.5882,1296.76,
2025-05-01,2025-05-31,Core 441/4509,441,1.4509,0.4208,927.70,
2025-05-01,2025-05-31,Core 434/4113,434,1.4113,0.4781,1054.04,
2025-05-01,2025-05-31,Core 436/4513,436,1.4513,0.4777,1053.16,
2025-05-01,2025-05-31,Core 4622,,1.4622,0.3768,830.70,
2025-05-01,2025-05-31,Supra 316L/4404,316L,1.4404,1.3125,2893.58,
2025-05-01,2025-05-31,Supra 316L 2.5% Moly,316L,,1.4148,3119.11,
2025-05-01,2025-05-31,Supra 316L 11% min Ni,316L,,1.3800,3042.38,
2025-05-01,2025-05-31,Supra 316Ti/4571,316Ti,1.4571,1.3139,2896.66,
2025-05-01,2025-05-31,Supra 444/4521,444,1.4521,0.7475,1647.96,
2025-05-01,2025-05-31,Supra 316plus,,1.4420,0.9558,2107.18,
2025-05-01,2025-05-31,Forta DX 2205,S32205,1.4462,1.3115,2891.36,
2025-05-01,2025-05-31,Forta LDX 2101,S32101,1.4162,0.5349,1179.25,
2025-05-01,2025-05-31,Forta DX 2304,S32304,1.4362,0.5821,1283.31,
2025-05-01,2025-05-31,Forta LDX 2404,S82441,1.4662,0.9565,2108.73,
2025-05-01,2025-05-31,Forta SDX 2507,S32750,1.4410,1.3774,3036.65,
2025-05-01,2025-05-31,Ultra 904L,904L,1.4539,2.6913,5933.30,
2025-05-01,2025-05-31,Ultra 254 SMO,S31254,1.4547,2.8418,6265.10,
2025-05-01,2025-05-31,Ultra 654 SMO,S32654,1.4652,3.0513,6726.97,
2025-05-01,2025-05-31,Ultra 317L,317L,1.4438,1.5975,3521.89,
2025-05-01,2025-05-31,Ultra 317LMN/4439,317LMN,1.4439,2.0420,4501.84,
2025-05-01,2025-05-31,Ultra N08367 / 4529,N08367,1.4529,2.8186,6213.96,
2025-05-01,2025-05-31,Ultra 4565,S34565,1.4565,2.0636,4549.46,
2025-05-01,2025-05-31,Ultra Alloy 825,,,3.3570,7400.91,
2025-05-01,2025-05-31,Dura 420/4021,420,1.4021,0.2793,615.75,
2025-05-01,2025-05-31,Dura 4122,,1.4122,0.5992,1321.01,
2025-05-01,2025-05-31,Dura 17-7PH,631,1.4568,0.7383,1627.68,
2025-05-01,2025-05-31,Dura 15-7PH,,1.4574,1.1317,2494.96,
2025-05-01,2025-05-31,Therma 253 MA,S30815,1.4835,1.0248,2259.30,
2025-05-01,2025-05-31,Therma 310S/4845,310S,1.4845,1.5275,3367.57,
2025-05-01,2025-05-31,Therma 309S/4833,309S,1.4833,1.0969,2418.25,
2025-05-01,2025-05-31,Therma 153 MA,S30415,1.4818,0.9093,2004.67,
2025-05-01,2025-05-31,Prodec 316/316L,UNS S31603,,1.3125,2893.58,
